25001
3 64757 39726 47092 
3 48679 66696 54566 
3 75378 30825 75770 
3 37696 77472 47459 
4 24120 59810 81341 14001 
4 57797 65966 54794 72357 
4 85966 25774 1157 64599 
4 12074 14000 49569 13777 
4 2241 1450 30895 78958 
4 38222 98026 13954 63993 
4 33396 39917 21542 92899 
4 44336 81637 37330 86401 
4 88937 41014 57271 61681 
4 28522 19658 49081 14017 
4 99897 94388 33758 97242 
4 77291 72412 3619 54432 
4 40224 86579 54811 27786 
4 20527 31541 38317 10266 
4 24013 7809 90684 8272 
4 50986 49738 99630 68405 
4 42828 47956 18513 13850 
4 5076 6463 33527 26331 
4 65513 91717 81552 98919 
4 55479 9298 55428 11173 
4 48624 89521 98885 45868 
4 88859 99815 11488 79872 
4 8880 95737 92619 54021 
4 30044 22792 35367 91816 
4 47637 46024 84759 58480 
4 62425 18901 46228 89941 
4 94815 88896 41768 7048 
4 61933 18314 12116 20775 
4 43449 49009 30308 89778 
4 26072 62591 57172 66216 
4 67945 14719 18069 21174 
4 25801 2163 69208 12519 
4 20858 87241 78589 2255 
4 24982 2275 13554 30846 
4 15608 96790 49030 55171 
4 41836 63494 28189 21336 
4 43368 22141 26843 44589 
4 90535 55345 10625 39352 
4 36250 41659 95700 46438 
4 69352 76097 82124 49320 
4 1649 93099 18712 94307 
4 67432 44583 14916 5110 
4 96782 14162 92375 55392 
4 72793 97453 70091 14678 
4 53904 19633 70280 87362 
4 17072 60201 99725 78060 
4 76424 91470 45486 27073 
4 39247 85226 7894 678 
4 7729 8510 79348 60248 
4 86201 23639 11540 70576 
4 47027 26194 79712 14557 
4 58067 24906 1249 92244 
4 64783 70521 12795 63149 
4 73936 64181 1012 89636 
4 56216 43895 7711 5717 
4 94342 84867 69910 59713 
4 49651 54101 45380 58137 
4 26770 16222 11548 18149 
4 88309 70624 48725 39645 
4 60123 90057 61991 19218 
4 10759 15694 93294 72548 
4 4316 52905 21572 3870 
4 52778 30701 58737 4900 
4 6620 66824 37888 95507 
4 68927 11404 92631 25660 
4 24280 10181 25197 69130 
4 40003 17138 56729 90323 
4 93991 57877 76339 28130 
4 3686 67927 18916 55830 
4 58083 50754 21248 41848 
4 33729 77650 42537 54707 
4 44176 97807 86884 36735 
4 47112 75561 3540 49151 
4 14137 6078 93007 45568 
4 75285 87794 2407 97757 
4 8495 11611 8793 14749 
4 41284 85267 21932 1793 
4 32739 56480 11633 87258 
4 95422 77975 75991 33132 
4 89991 71016 77819 6781 
4 18827 80838 48597 16625 
4 44429 25010 56110 45941 
4 34309 53240 65249 21405 
4 32036 50923 45704 83265 
4 14278 4080 87852 60165 
4 36888 16696 40327 66751 
4 1959 86418 97532 30710 
4 42727 76068 59114 80698 
4 48220 58311 70777 60134 
4 44018 98757 81565 67216 
4 77319 6042 39980 91663 
4 67069 72893 3831 73276 
4 15076 65476 62901 62675 
4 35186 59708 65396 8147 
4 18121 61964 81804 21379 
4 48822 26990 20226 32951 
4 66643 88712 20151 15914 
4 96633 99098 18334 54762 
4 2331 81984 32271 37494 
4 57307 69082 3108 83555 
4 36281 61457 41130 93489 
4 29297 11930 59015 20674 
4 48891 41225 51610 93743 
4 25761 73207 48507 55992 
4 69509 51569 33098 63468 
4 58442 5250 69315 69525 
4 81451 40581 7852 32448 
4 19789 76868 15903 9046 
4 82339 27149 16792 58680 
4 12229 48360 24733 24695 
4 20123 93129 75410 60735 
4 70736 15868 11232 69773 
4 26399 61326 26761 19756 
4 1511 76827 2711 29368 
4 31363 73948 41044 29604 
4 24413 8252 15604 28628 
4 1666 40654 28492 23531 
4 9856 5735 76071 94415 
4 60806 4563 90901 36242 
4 99889 56858 40583 96075 
4 89051 91314 8990 32421 
4 20854 42227 10274 9916 
4 97014 64848 13170 53603 
4 82035 761 23217 48676 
4 32541 4327 95999 68232 
4 19304 22249 80345 28909 
4 42880 50394 12798 24116 
4 45035 60429 17589 91022 
4 52791 89510 19802 26347 
4 98366 63334 55044 99844 
4 56431 97431 54543 24492 
4 58516 18957 61097 89010 
4 3836 19556 68745 86852 
4 62310 58595 63737 95923 
4 49842 15708 38414 63742 
4 44219 99776 83524 81869 
4 74578 27003 14415 58476 
4 51841 9988 22914 29187 
4 67204 7388 36475 47809 
4 61044 99646 68442 33907 
4 86154 4722 26632 90168 
4 2133 76843 83264 37513 
4 75620 52409 75840 89415 
4 90456 15410 18634 78801 
4 16311 89109 1240 25854 
4 66620 35912 11606 61236 
4 87136 82223 42966 63979 
4 95355 35160 81175 78200 
4 11684 77615 82695 85565 
4 86383 32695 29324 60354 
4 27643 87819 4531 57431 
4 99337 71833 168 82217 
