25007
3 64757 39726 47092 
3 48679 66696 54566 
3 75378 30825 75770 
3 37696 58248 47459 
3 24120 59810 81341 
3 74847 57797 65966 
3 54794 72357 85966 
3 25774 1157 71631 
3 12074 14000 49569 
3 13777 26411 1450 
3 30895 78958 83995 
3 98026 13954 63993 
3 33396 65628 21542 
3 92899 44336 39848 
3 37330 86401 88937 
3 41014 57271 61681 
3 28522 19658 86404 
3 14017 99897 94388 
3 33758 97242 77291 
3 72412 3619 54432 
3 40224 89401 54811 
3 27786 21100 31541 
3 38317 10266 55989 
3 7809 90684 8272 
3 14356 49738 99630 
3 68405 42828 47956 
3 18513 13850 5076 
3 6463 33527 50643 
4 65513 21752 81552 98919 
4 55479 9298 55428 11173 
4 48624 89521 99992 45868 
4 63968 99815 11488 79872 
4 8880 38813 92619 54021 
4 58355 22792 13457 92053 
4 39549 46024 84759 58480 
4 45773 18901 46228 89941 
4 94815 88896 43126 7048 
4 61933 18314 70437 20775 
4 43449 49009 30308 89778 
4 26072 62591 41556 66216 
4 67945 14719 18069 34612 
4 7789 2163 69208 12519 
4 20858 87241 78589 26785 
4 95600 2275 64643 30846 
4 15608 96790 49030 55171 
4 41836 63494 85586 59619 
4 43368 49150 26843 44589 
4 31782 55345 10625 39352 
4 36250 41659 95700 46438 
4 69352 76097 82124 49320 
4 1649 27591 18712 94307 
4 67432 44583 1531 72912 
4 40012 14162 92375 55392 
4 2956 97453 70091 14678 
4 53904 41126 70280 87362 
4 17072 60201 63591 94094 
4 3781 91470 45486 27073 
4 97443 73344 7894 678 
4 7729 15819 79348 60248 
4 73365 23639 11540 70576 
4 26236 26194 79712 14557 
4 58067 24906 87718 92244 
4 28111 70521 12795 63149 
4 95224 64181 1012 89636 
4 56216 43895 64346 69285 
4 94342 84867 69910 59713 
4 49651 54101 84265 77930 
4 26770 16222 11548 18149 
4 68898 70624 54297 25067 
4 60123 90057 85218 19218 
4 19107 15694 93294 72548 
4 4316 54240 54602 3870 
4 33279 30701 58737 4900 
4 6620 33586 37888 95507 
4 5865 11404 26502 35080 
4 24280 42572 49439 3902 
4 39814 17138 56729 90323 
4 93991 57877 3120 28130 
4 72489 34496 18916 55830 
4 58083 9779 21248 74415 
4 33729 93986 42537 54707 
4 44176 97807 11751 36735 
4 25966 42885 32360 49151 
4 77479 6078 93007 65511 
4 81200 87794 2407 63729 
4 8495 11611 8793 14749 
4 41284 56877 21932 1793 
4 84942 56480 11633 9897 
4 95422 77975 75991 33132 
4 89991 71016 68712 27406 
4 18827 80838 88167 16625 
4 98498 39064 56110 45941 
4 86678 53240 65249 53876 
4 32036 58065 45704 83265 
4 52294 4080 87852 81259 
4 36888 2013 40327 66751 
4 1959 86418 97532 30710 
4 42727 76068 59114 80698 
4 48220 63807 39847 60134 
4 44018 74147 26828 67216 
4 29315 20485 39980 85213 
4 67069 26272 89006 29705 
4 15076 65476 62901 62675 
4 35186 59708 65396 8147 
4 52182 61964 81804 21379 
4 59990 26990 20226 44145 
4 1709 88712 63059 15914 
4 96633 99098 18334 95886 
4 2331 64849 32271 54224 
4 57307 20439 3108 83555 
4 36281 61457 97427 93489 
4 29297 11930 59015 20674 
4 74587 41225 51610 33444 
4 8006 73207 48507 55992 
4 69509 51569 33098 63468 
4 58442 5250 69315 69525 
4 28243 40581 7852 32448 
4 19789 76868 15903 9046 
4 82339 27149 16792 58680 
4 20289 48360 24733 24695 
4 20123 93129 75410 65354 
4 70736 88689 11232 69773 
4 26399 61326 4860 45727 
4 1511 76827 2711 29368 
4 31363 73948 41044 29604 
4 24413 12688 15604 72999 
4 16314 40654 28492 23531 
4 9856 5735 97651 94415 
4 60806 4563 90901 36242 
4 62341 56858 40583 76894 
4 89051 91314 82611 9449 
4 20854 22261 66207 9916 
4 97014 64848 13170 53603 
4 97673 761 15597 48676 
4 32541 4327 95999 68232 
4 19304 22249 80345 28909 
4 78502 50394 12798 69640 
4 38521 60429 17589 18499 
4 9747 89510 19802 26347 
4 98366 75709 55044 99844 
4 32154 97431 34409 24492 
4 58516 18957 75014 89010 
4 3836 19556 68745 86852 
4 62310 66467 63737 95923 
4 49842 15708 38414 63742 
4 44219 99776 83524 59060 
4 74578 35794 14415 58476 
4 51841 60964 75591 29187 
4 67204 7388 36475 47809 
4 61044 26327 68442 33907 
4 86154 22085 26632 90168 
4 2133 76843 83264 37513 
4 8961 52409 75840 89415 
4 90456 15410 18634 78801 
4 16311 89109 1240 83661 
4 93930 71971 11606 61236 
4 87136 95684 42966 63979 
4 87513 35160 81175 78200 
4 11684 77615 82695 85565 
4 86383 38698 25501 75941 
4 72920 87819 78863 57431 
4 87281 71833 168 82541 
4 41942 36066 1507 91252 
4 38751 66005 94456 3378 
4 16164 81375 83806 2618 
4 22420 3718 73710 60311 
4 88911 37203 589 76315 
4 74210 47725 74667 5198 
4 2566 53580 68529 8556 
4 25617 78252 70210 83130 
4 78962 87967 13005 93227 
4 88760 76759 88840 23539 
4 58049 74165 69270 7945 
4 75491 30483 52926 29438 
4 96410 10614 31565 49351 
4 68613 41612 93059 29421 
4 13576 51671 86279 55912 
4 3575 17591 52657 50265 
4 23297 25653 71037 70240 
4 19002 51334 38966 95643 
4 84793 14673 58342 90240 
4 84111 68943 59544 72368 
4 20831 71890 86292 50158 
4 9840 42639 14825 46944 
4 63779 55554 77532 72804 
4 42513 20752 80987 19894 
4 20062 64461 54397 54574 
4 97073 3262 78 23213 
4 29078 80433 39202 96717 
4 55798 51026 33461 18211 
4 49473 56717 71882 86144 
4 62426 35499 68358 37785 
4 38389 32118 88003 67519 
4 59633 35244 48846 96017 
4 31463 29235 71335 27069 
4 23656 76655 29873 16306 
4 93510 68884 59892 82970 
4 36686 13661 38984 2068 
4 85225 74610 90320 89426 
4 23068 45310 29622 63088 
4 47197 63085 2529 72661 
4 41312 18981 94308 73035 
4 57049 90280 69631 86902 
4 51384 38649 97835 45384 
4 7243 84133 95492 50489 
4 52025 53878 41529 20023 
4 8965 8621 55056 73882 
4 76308 8640 21088 86235 
4 11700 42469 78263 18308 
4 53635 22120 57966 54278 
4 3470 65982 18903 7610 
4 61813 38471 62975 14412 
4 96972 91416 24651 39756 
4 58458 78449 2295 4904 
4 36325 27040 57497 19342 
4 5689 3834 15854 78822 
